Sr. No.,Item Description,Qty ,Unit,,,,,,
main,AUTO CLAVE PANEL,1,NOS,inhouse,Assembly,inhouse,Wring,inhouse,Testing
1,A9N3P40C,1,NOS,,,,,,
2,A9N3P06C,1,NOS,,,,,,
3,A9N2P06C,3,NOS,,,,,,
4,LC1E3810M7,1,NOS,,,,,,
5,LC1E0910M7 NO,2,NOS,,,,,,
6,LRE16 RELAY 9-13A,1,NOS,,,,,,
7,XB5AS542N - EMERGENCY STOP,1,NOS,,,,,,
8,DVP14SS211R,1,NOS,,,,,,
9,DTC1000R,1,NOS,,,,,,
10,DTC2000R,1,NOS,,,,,,
11,MY2N (24VDC) RELAY OMRON,1,NOS,,,,,,
12,MY4 RELAY SOCKET 14PIN PYF-14**1 JIGO,1,NOS,,,,,,
13,800PSR,1,NOS,,,,,,
14,RPS120-24,1,NOS,,,,,,
15,61080 SALZER,3,NOS,,,,,,
16,800XU,1,NOS,,,,,,
17,LED BUZZER RED 22.5,1,NOS,,,,,,
18,XB5AK123M1N - LUMINIOS SELECTOR SWITCH 230V,1,NOS,,,,,,
19,CTS4UN,47,NOS,,,,,,
20,TT-IMRB-04024DIS-C-RL,1,NOS,,,,,,
21,ELECTRIC INSULATION BOARD,1,NOS,,,,,,
