Product Type,Product Category,Item Code,Product Name,Branch,Hsn Code,Base Unit,Base Qty,Conv Unit,Conv Qty,Product Material,Product Valuation,Product Barcode,Net weight,Making time,Lead time,Gst type,Sale rate,Purchase Rate,Weight,Minimum stock,Maximum stock,Grn required,Reorder qty,Self life days,Warranty period,Model no,Item type,Material Center,Stock Count,Bom required,Item Status,Batch wise stock manage
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00150,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.375 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00151,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.375 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00152,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.125 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00153,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.125 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00154,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.875 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00155,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.875 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00156,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 2.125 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00157,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 2.125 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00158,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 2.5 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00159,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 2.5 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00160,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.75 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00161,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 1.75 #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00162,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 0025MM #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
FINISH PRODUCT,STATIONARY UNIT SPARE,FBOSSTB00163,MECHANICAL SEAL STATIONARY #SEAL TYPE : TEFLON BELLOW TB #SIZE : 0025MM #FACE : SIC #SEALING : PTFE #MAKE : FLOWSERVE,BRANCH 1,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,,yes,,
