Product Type,Product Category,Item Code,Product Name,Branch,Hsn Code,Base Unit,Base Qty,Conv Unit,Conv Qty,Product Material,Product Valuation,Product Barcode,Net weight,Making time,Lead time,Gst type,Sale rate,Purchase Rate,Weight,Minimum stock,Maximum stock,Grn required,Reorder qty,Self life days,Warranty period,Model no,Item type,Material Center,Stock Count,Bom required,Item Status,Batch wise stock manage
RAW MATERIAL,,,BOX PIPE (MS) 60x40x3.6 THK.,BRANCH 1,7303,MTRS,1,KGS,5.11,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,COIL (SS304) 1250x3 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,COIL (SS304) 1250x2.6 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,COIL (SS304) 1250x2 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,COIL (SS304) 1500x2.6 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,COIL (SS304) 1500x2 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,COIL (SS304) 1500x3 MM THK.,BRANCH 1,7303,KGS,1,KGS,1,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,CHANNEL (MS) 75x40,BRANCH 1,7303,MTRS,1,KGS,6.8,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,CHANNEL (MS) 100x50,BRANCH 1,7303,MTRS,1,KGS,9.2,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (MS) O.D. 48x3 MM THK.,BRANCH 1,7303,MTRS,1,KGS,3.34,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (MS) O.D. 48x5 MM THK.,BRANCH 1,7303,MTRS,1,KGS,5.3,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (MS) O.D. 60x4 MM THK.,BRANCH 1,7303,MTRS,1,KGS,5.52,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (MS) O.D. 80x2 MM THK.,BRANCH 1,7303,MTRS,1,KGS,3.85,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (MS) O.D. 105 x I.D. 55  MMTHK.,BRANCH 1,7303,MTRS,1,KGS,49.8,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (MS) O.D. 168x3 MM THK.,BRANCH 1,7303,MTRS,1,KGS,12.21,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (SS202) O.D. 48x3 MM THK.,BRANCH 1,7303,MTRS,1,KGS,3.36,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (SS202) O.D. 48x5 MM THK.,BRANCH 1,7303,MTRS,1,KGS,5.35,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (SS202) O.D. 76x2 MM THK.,BRANCH 1,7303,MTRS,1,KGS,3.68,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (SS202) O.D. 165x3 MM THK.,BRANCH 1,7303,MTRS,1,KGS,12.09,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (SS202) O.D. 273x3.5 MM THK.,BRANCH 1,7303,MTRS,1,KGS,23.47,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,ROUND PIPE (SS202) O.D. 219x4 MM THK.,BRANCH 1,7303,MTRS,1,KGS,21.4,,,,,,,,,,,,,,,,,,,,,,,
RAW MATERIAL,,,SQ. PIPE (M.S.) 40x40x3 MM THK.,BRANCH 1,7303,MTRS,1,KGS,3.35,,,,,,,,,,,,,,,,,,,,,,,
