Product Type,Product Category,Item Code,Product Name,Branch,Hsn Code,Base Unit,Base Qty,Conv Unit,Conv Qty,Product Material,Product Valuation,Product Barcode,Net weight,Making time,Lead time,Gst type,Sale rate,Purchase Rate,Weight,Minimum stock,Maximum stock,Grn required,Reorder qty,Self life days,Warranty period,Model NOS,Item type,Material Center,Stock Count,Bom required,Item Status,Batch wise stock manage
BOI,Raw Material,10101001,ALUMINUM INGOTS ,OFFICE,84139120,KG,14052,KG,14052,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Raw Material,10101002,ALUMINIUM BILLETS,OFFICE,84139120,KG,17010,KG,17010,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Raw Material,10101003,ALUMINIUM SECTION(SCRAP),OFFICE,84139120,KG,485.75,KG,485.75,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Raw Material,10101005,ALUMINIUM WIRE SCRAP,OFFICE,84139120,KG,24486,KG,24486,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101006,SILICON MASTER ALLOY (LM-6),OFFICE,84139120,KG,633,KG,633,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101007,MAGNESIUM METAL,OFFICE,84139120,KG,406,KG,406,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101008,COPPER ,OFFICE,84139120,KG,251.52,KG,251.52,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101009,MANGENESE MASTER ALLOY,OFFICE,84139120,KG,1129,KG,1129,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101010,CHROMIUM MASTER ALLOY (10%),OFFICE,84139120,KG,1048,KG,1048,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101022,MANGANESE METAL FLAKES,OFFICE,84139120,KG,100,KG,100,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101023,SILICON METAL,OFFICE,84139120,KG,329.5,KG,329.5,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101024,ALUMINIUM TITANIUM (ALTI5B1),OFFICE,84139120,KG,240,KG,240,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101026,COPPER MASTER ALLOY,OFFICE,84139120,KG,45,KG,45,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Alloys,10101027,SARU MODIFIER SR-10,OFFICE,84139120,KG,4,KG,4,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Foundry Chemical,10202019,DEGASSER -20,OFFICE,84139120,KG,120,KG,120,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Foundry Chemical,10204010,COVER FLUX A - 5,OFFICE,84139120,KG,150,KG,150,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Foundry Chemical,10204015,CERAFLUX-11,OFFICE,84139120,KG,500,KG,500,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10401002,MASTIK(CKO STICK),OFFICE,84139120,KG,12,KG,12,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10401003,ORTEX ,OFFICE,84139120,KG,20,KG,20,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Filtering,10501001,"CERAMIC FOAM FILTER 15""X15""X2""-30PPI",OFFICE,84139120,NOS,270,NOS,270,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501004,MAGNESIA POWDER (ASBESTOS),OFFICE,84139120,KG,150,KG,150,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501005,DISTRIBUTION RING 450 X 214 X 176MM,OFFICE,84139120,NOS,8,NOS,8,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501006,TOP RING 168.5DIA,OFFICE,84139120,NOS,19,NOS,19,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501008,"CERAMIC DISTRIBUTOR 06"" (IMP-CHINA)",OFFICE,84139120,NOS,6,NOS,6,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501009,"CERAMIC THIMBLE 06"" (IMP-CHINA)",OFFICE,84139120,NOS,13,NOS,13,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501010,"CERAMIC DISTRIBUTOR 07"" (IMP-CHINA)",OFFICE,84139120,NOS,3,NOS,3,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501013,"CERAMIC DISTRIBUTOR (SINGLE WAY) 07"" (IMP-CHINA)",OFFICE,84139120,NOS,5,NOS,5,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501014,"CERAMIC THIMBLE 07"" (IMP-CHINA)",OFFICE,84139120,NOS,8,NOS,8,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501017,"SLEEL SHOES 06""",OFFICE,84139120,NOS,5,NOS,5,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Refractory,10501018,"SLEEL SHOES 07""",OFFICE,84139120,NOS,5,NOS,5,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,20101001,KURTRIDE,OFFICE,84139120,KG,100,KG,100,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,20101002,KURGEN,OFFICE,84139120,KG,100,KG,100,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,20101003,KURADD,OFFICE,84139120,KG,1,KG,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,20101007,ALUMINIUM OXIDE (IMPORTED),OFFICE,84139120,BAG,3,BAG,3,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,20101010,CHEMICAL 6120F,OFFICE,84139120,LTR,25,LTR,25,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,20101011,CHEMICAL 6210F,OFFICE,84139120,LTR,25,LTR,25,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,20101024,CAUSTIC SODA FLAKES,OFFICE,84139120,KG,1450,KG,1450,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,30303002,MAGNIFYING GLASS 3 INCH DIA,OFFICE,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Chemical,30304001,RA TYPE DIAMOND INDENTOR,OFFICE,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Spares Hardnes Tester,30304008,MIRROR ,OFFICE,84139120,NOS,1,NOS,1,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
BOI,Spares Hardnes Tester,30304009,  FOR MODEL : BV-250 ,OFFICE,84139120,NOS,6,NOS,6,,,,,,,excluding,,,,,,yes,,,,,,,yes,yes,,
